DateTime;non_flexible_load;dishwasher;washing_dryer;pv_production;purchase_price;sale_price;Price
2018-01-01T00:00:00;0.054;0;0;0;0.2;0.03;0
2018-01-01T01:00:00;0.0695;0;0;0;0.2;0.03;0
2018-01-01T02:00:00;0.11445;0;0;0;0.2;0.03;0
2018-01-01T03:00:00;0.1439;0;0;0;0.2;0.03;0
2018-01-01T04:00:00;0.2850833333;0;0;0;0.2;0.03;0
2018-01-01T05:00:00;0.09895;0;0;0;0.2;0.03;0
2018-01-01T06:00:00;0.18825;0;0;0;0.2;0.03;0
2018-01-01T07:00:00;0.5665333333;0;0;0;0.25;0.03;0
2018-01-01T08:00:00;0.50085;0;0;0.3846;0.25;0.03;0
2018-01-01T09:00:00;0.13305;0;0;1.91245;0.25;0.03;0
2018-01-01T10:00:00;0.12995;0;0;2.6115;0.25;0.03;0
2018-01-01T11:00:00;0.5501;0;0;2.88665;0.25;0.03;0
2018-01-01T12:00:00;0.585;0;0;3.01875;0.25;0.03;0
2018-01-01T13:00:00;0.2707333333;0;0;2.7454;0.25;0.03;0
2018-01-01T14:00:00;0.2756;0;0;0.88895;0.25;0.03;0
2018-01-01T15:00:00;0.0819;0;0;0.0446;0.25;0.03;0
2018-01-01T16:00:00;0.6741166667;0;0;0;0.25;0.03;0
2018-01-01T17:00:00;1.095113;0;0;0;0.25;0.03;0
2018-01-01T18:00:00;0.4807833333;0;1.2;0;0.2;0.03;0
2018-01-01T19:00:00;1.150666667;0;1.2;0;0.2;0.03;0
2018-01-01T20:00:00;0.5282;0.75;1.2;0;0.2;0.03;0
2018-01-01T21:00:00;0.3219;0.75;0;0;0.2;0.03;0
2018-01-01T22:00:00;0.3536166667;0;0;0;0.2;0.03;0
2018-01-01T23:00:00;0.0751;0;0;0;0.2;0.03;0
2018-01-02T00:00:00;0.054;0;0;0;0.2;0.03;0
2018-01-02T01:00:00;0.0695;0;0;0;0.2;0.03;0
2018-01-02T02:00:00;0.11445;0;0;0;0.2;0.03;0
2018-01-02T03:00:00;0.1439;0;0;0;0.2;0.03;0
2018-01-02T04:00:00;0.2850833333;0;0;0;0.2;0.03;0
2018-01-02T05:00:00;0.09895;0;0;0;0.2;0.03;0
2018-01-02T06:00:00;0.18825;0;0;0;0.2;0.03;0
2018-01-02T07:00:00;0.5665333333;0;0;0;0.25;0.03;0
2018-01-02T08:00:00;0.50085;0;0;0;0.25;0.03;0
2018-01-02T09:00:00;0.13305;0;0;0.0458;0.25;0.03;0
2018-01-02T10:00:00;0.12995;0;0;0.76515;0.25;0.03;0
2018-01-02T11:00:00;0.5501;0;0;0.1298;0.25;0.03;0
2018-01-02T12:00:00;0.585;0;0;0.0424;0.25;0.03;0
2018-01-02T13:00:00;0.2707333333;0;0;0.4734;0.25;0.03;0
2018-01-02T14:00:00;0.2756;0;0;0.5897;0.25;0.03;0
2018-01-02T15:00:00;0.0819;0;0;0.4747;0.25;0.03;0
2018-01-02T16:00:00;0.6741166667;0;0;0;0.25;0.03;0
2018-01-02T17:00:00;1.095113;0;0;0;0.25;0.03;0
2018-01-02T18:00:00;0.4807833333;0;1.2;0;0.2;0.03;0
2018-01-02T19:00:00;1.150666667;0;1.2;0;0.2;0.03;0
2018-01-02T20:00:00;0.5282;0.75;1.2;0;0.2;0.03;0
2018-01-02T21:00:00;0.3219;0.75;0;0;0.2;0.03;0
2018-01-02T22:00:00;0.3536166667;0;0;0;0.2;0.03;0
2018-01-02T23:00:00;0.0751;0;0;0;0.2;0.03;0
2018-01-03T00:00:00;0.054;0;0;0;0.2;0.03;0
2018-01-03T01:00:00;0.0695;0;0;0;0.2;0.03;0
2018-01-03T02:00:00;0.11445;0;0;0;0.2;0.03;0
2018-01-03T03:00:00;0.1439;0;0;0;0.2;0.03;0
2018-01-03T04:00:00;0.2850833333;0;0;0;0.2;0.03;0
2018-01-03T05:00:00;0.09895;0;0;0;0.2;0.03;0
2018-01-03T06:00:00;0.18825;0;0;0;0.2;0.03;0
2018-01-03T07:00:00;0.5665333333;0;0;0;0.25;0.03;0
2018-01-03T08:00:00;0.50085;0;0;0;0.25;0.03;0
2018-01-03T09:00:00;0.13305;0;0;0.07325;0.25;0.03;0
2018-01-03T10:00:00;0.12995;0;0;0.06655;0.25;0.03;0
2018-01-03T11:00:00;0.5501;0;0;0.2203;0.25;0.03;0
2018-01-03T12:00:00;0.585;0;0;0.1408;0.25;0.03;0
2018-01-03T13:00:00;0.2707333333;0;0;0.39115;0.25;0.03;0
2018-01-03T14:00:00;0.2756;0;0;0.08285;0.25;0.03;0
2018-01-03T15:00:00;0.0819;0;0;0.0149;0.25;0.03;0
2018-01-03T16:00:00;0.6741166667;0;0;0;0.25;0.03;0
2018-01-03T17:00:00;1.095113;0;0;0;0.25;0.03;0
2018-01-03T18:00:00;0.4807833333;0;1.2;0;0.2;0.03;0
2018-01-03T19:00:00;1.150666667;0;1.2;0;0.2;0.03;0
2018-01-03T20:00:00;0.5282;0.75;1.2;0;0.2;0.03;0
2018-01-03T21:00:00;0.3219;0.75;0;0;0.2;0.03;0
2018-01-03T22:00:00;0.3536166667;0;0;0;0.2;0.03;0
2018-01-03T23:00:00;0.0751;0;0;0;0.2;0.03;0
2018-01-04T00:00:00;0.054;0;0;0;0.2;0.03;0
2018-01-04T01:00:00;0.0695;0;0;0;0.2;0.03;0
2018-01-04T02:00:00;0.11445;0;0;0;0.2;0.03;0
2018-01-04T03:00:00;0.1439;0;0;0;0.2;0.03;0
2018-01-04T04:00:00;0.2850833333;0;0;0;0.2;0.03;0
2018-01-04T05:00:00;0.09895;0;0;0;0.2;0.03;0
2018-01-04T06:00:00;0.18825;0;0;0;0.2;0.03;0
2018-01-04T07:00:00;0.5665333333;0;0;0;0.25;0.03;0
2018-01-04T08:00:00;0.50085;0;0;0.00585;0.25;0.03;0
2018-01-04T09:00:00;0.13305;0;0;1.94285;0.25;0.03;0
2018-01-04T10:00:00;0.12995;0;0;1.71675;0.25;0.03;0
2018-01-04T11:00:00;0.5501;0;0;1.5527;0.25;0.03;0
2018-01-04T12:00:00;0.585;0;0;1.41925;0.25;0.03;0
2018-01-04T13:00:00;0.2707333333;0;0;2.0802;0.25;0.03;0
2018-01-04T14:00:00;0.2756;0;0;1.7528;0.25;0.03;0
2018-01-04T15:00:00;0.0819;0;0;0.2028;0.25;0.03;0
2018-01-04T16:00:00;0.6741166667;0;0;0;0.25;0.03;0
2018-01-04T17:00:00;1.095113;0;0;0;0.25;0.03;0
2018-01-04T18:00:00;0.4807833333;0;1.2;0;0.2;0.03;0
